speaker_ID,speaker_gender,non_likable,secure,attractive,unsympathetic,indecisive,unobtrusive,distant,bored,emotional,not_irritated,active,pleasant,characterless,sociable,relaxed,affectionate,dominant,unaffected,hearty,old,personal,calm,incompetent,ugly,friendly,masculine,submissive,indifferent,interesting,cynical,artificial,intelligent,childish,modest
142,female,45.0,56.0,59.92307692307692,41.0,33.61538461538461,44.0,45.61538461538461,47.38461538461539,50.84615384615385,51.46153846153846,51.84615384615385,52.61538461538461,41.23076923076923,46.61538461538461,58.07692307692308,53.0,54.84615384615385,46.53846153846154,50.5,34.0,41.30769230769231,58.76923076923077,44.23076923076923,45.38461538461539,57.76923076923077,16.615384615384617,50.92307692307692,38.30769230769231,41.84615384615385,42.61538461538461,49.53846153846154,59.92307692307692,41.61538461538461,48.46153846153846
143,female,33.0,41.357142857142854,46.0,31.285714285714285,43.285714285714285,67.07142857142857,31.642857142857142,41.857142857142854,50.5,72.5,46.92857142857143,46.57142857142857,49.42857142857143,54.642857142857146,44.357142857142854,62.714285714285715,36.642857142857146,55.0,64.07692307692308,25.0,44.5,49.642857142857146,50.42857142857143,50.0,70.07142857142857,12.714285714285714,69.28571428571429,43.142857142857146,39.57142857142857,28.642857142857142,42.357142857142854,40.785714285714285,60.57142857142857,69.42857142857143
144,female,52.57142857142857,65.78571428571429,46.714285714285715,42.785714285714285,30.214285714285715,61.07142857142857,49.642857142857146,45.5,44.5,56.785714285714285,60.07142857142857,60.142857142857146,40.5,40.785714285714285,63.42857142857143,52.07142857142857,55.57142857142857,69.5,54.642857142857146,56.57142857142857,40.214285714285715,74.57142857142857,46.57142857142857,49.07142857142857,60.92857142857143,22.071428571428573,57.357142857142854,48.42857142857143,46.92857142857143,41.214285714285715,40.357142857142854,55.857142857142854,34.285714285714285,51.142857142857146
145,female,42.714285714285715,63.07142857142857,50.57142857142857,36.5,40.42857142857143,47.42857142857143,32.92857142857143,33.785714285714285,70.28571428571429,70.21428571428571,67.14285714285714,55.0,50.857142857142854,63.214285714285715,54.857142857142854,56.642857142857146,52.5,54.214285714285715,59.07692307692308,29.5,48.285714285714285,46.785714285714285,53.57142857142857,48.214285714285715,64.64285714285714,15.0,41.214285714285715,30.071428571428573,56.357142857142854,45.07142857142857,44.5,45.07142857142857,48.357142857142854,41.07142857142857
146,male,45.92857142857143,69.85714285714286,45.92857142857143,37.642857142857146,30.785714285714285,61.92857142857143,63.785714285714285,51.5,42.214285714285715,56.857142857142854,42.642857142857146,62.57142857142857,45.42857142857143,47.92857142857143,67.21428571428571,45.92857142857143,51.857142857142854,59.142857142857146,38.61538461538461,66.78571428571429,27.857142857142858,67.78571428571429,35.214285714285715,47.92857142857143,58.5,88.64285714285714,61.57142857142857,53.785714285714285,48.357142857142854,34.357142857142854,47.357142857142854,65.28571428571429,16.071428571428573,59.92857142857143
147,male,43.69230769230769,48.07692307692308,53.46153846153846,45.84615384615385,42.07692307692308,61.15384615384615,54.76923076923077,49.92307692307692,38.84615384615385,53.76923076923077,46.07692307692308,56.15384615384615,50.76923076923077,43.38461538461539,63.0,50.46153846153846,40.69230769230769,63.46153846153846,43.833333333333336,60.69230769230769,36.30769230769231,76.07692307692308,39.92307692307692,46.69230769230769,57.38461538461539,81.84615384615384,64.61538461538461,61.15384615384615,49.07692307692308,38.92307692307692,41.0,61.30769230769231,29.153846153846153,64.84615384615384
148,female,65.0,25.333333333333332,26.266666666666666,42.86666666666667,62.4,69.13333333333334,62.266666666666666,61.2,38.6,64.2,37.6,38.2,71.73333333333333,34.13333333333333,33.13333333333333,36.0,30.666666666666668,57.53333333333333,42.53333333333333,34.8,38.266666666666666,38.8,70.93333333333334,58.53333333333333,49.0,25.933333333333334,69.8,59.86666666666667,30.266666666666666,30.333333333333332,45.93333333333333,36.6,51.53333333333333,66.2
149,female,58.266666666666666,67.6,37.8,41.4,29.333333333333332,55.733333333333334,50.6,45.733333333333334,33.0,62.6,52.46666666666667,44.4,55.733333333333334,31.466666666666665,60.666666666666664,41.06666666666667,49.733333333333334,59.13333333333333,40.13333333333333,47.666666666666664,30.533333333333335,73.6,41.2,59.666666666666664,62.733333333333334,17.2,61.2,55.06666666666667,35.86666666666667,38.86666666666667,38.6,53.2,32.46666666666667,67.53333333333333
150,male,41.05882352941177,71.17647058823529,51.705882352941174,32.294117647058826,37.35294117647059,49.88235294117647,40.35294117647059,32.411764705882355,59.470588235294116,70.88235294117646,68.0,60.1764705882353,36.88235294117647,69.6470588235294,69.76470588235294,65.52941176470588,55.0,56.8235294117647,69.25,54.23529411764706,43.588235294117645,60.88235294117647,43.294117647058826,40.705882352941174,67.3529411764706,79.70588235294117,50.11764705882353,36.94117647058823,60.94117647058823,47.588235294117645,35.94117647058823,58.470588235294116,38.588235294117645,51.0
151,female,50.333333333333336,60.86666666666667,52.06666666666667,34.0,37.2,59.266666666666666,46.266666666666666,51.2,47.666666666666664,51.0,55.93333333333333,51.666666666666664,41.53333333333333,46.733333333333334,60.93333333333333,49.4,54.46666666666667,58.06666666666667,54.5,37.93333333333333,24.066666666666666,63.86666666666667,37.266666666666666,45.53333333333333,52.2,10.6,54.8,46.733333333333334,48.0,48.93333333333333,42.2,60.4,40.06666666666667,51.46666666666667
